Sample_name,Raw Data read counts ,MERGED,PAIRED,AGE,Filtered and error corrected total read count,Contig Number,Largest Contig,N50,Number of read count mapping to contigs
BH194L-3_S25_210810_A00902_B_L002_APMG-38-1,78760574,41018471,16197420,76,73413311,225010,192425,1226,38839532
BH194L-4_S16_BH194L-4_S17,190988040,56004964,19561936,264,95128836,214686,690081,2009,72556834
BH194L-6_S26_210810_A00902_B_L002_APMG-38-2,169007526,49840304,20219406,724,90279116,161670,527231,2387,73082374
BH194L-7_S17_BH194L-7_S18,191285328,49950980,23393774,1212,96738528,215795,526116,1407,76576821
BH195L-1_S27_210810_A00902_B_L002_APMG-38-3,182004094,53397649,21654358,1858,96706365,253033,1189536,2345,72531025
BH195L-2_S18_BH195L-2_S19,208227500,58935312,22636889,2504,104209090,225968,1080753,2051,81171955
JK109L-6_S31_210810_A00902_B_L002_APMG-38-10,135528820,51445379,18454983,3023,88355345,199420,985124,1895,68148655
BH195L-3_S28_210810_A00902_B_L002_APMG-38-4,185220838,49665253,25746574,4381,101158401,333007,631616,1704,71217670
BH195L-4_S29_210810_A00902_B_L002_APMG-38-5,188020484,53888292,23781334,5168,101450960,264194,1693399,2436,75789356
BH193L-1_S22_210810_A00902_B_L001_APMG-37-1,217818482,59058489,26108321,6400,111275131,268384,881439,2119,84085288
BH193L-2_S20_BH193L-2_S19,264377382,67041217,29117132,6890,125275481,321320,836566,1749,97886415
JK109L-5_S30_210810_A00902_B_L002_APMG-38-9,180984508,52319992,24258086,7562,100836164,199362,646113,1609,75833198
BH193L-3_S20,146560912,34905760,20498025,8513,75901810,289721,978290,1604,46248954
BH193L-4_S23_210810_A00902_B_L001_APMG-37-2,209899574,51615159,32513538,9157,116642235,434701,834887,1582,80516665
JK081L-1_S1,86301940,28490789,11081447,9816,50653683,170870,834887,1497,27229035
JK105L-6_S21,177855662,46766815,26076151,10091,98919117,292219,547777,1788,67523560
JK081L-3_S3,84022096,23632075,8461248,10428,40554571,112007,85045,1408,24668767
BH193L-5_S24_210810_A00902_B_L001_APMG-37-3,146157304,32956835,26599379,11508,86155593,251993,869379,3133,60872121
JK081L-4_S4,68491916,27335968,7048207,11791,41432382,67740,96211,3013,23591530
JK081L-2_S16_JK081L-2_S2,105927698,53169064,19209083,12992,91587230,147236,835467,1540,57037096
JK115L-4_S23,129079780,40848000,9752645,13588,60353290,114873,97875,1379,33215259
210810_A00902_B_L001_APMG-37-4,114941576,30410635,21334965,13746,73080565,245739,834905,1707,49615054
JK109L-4_S21_JK109L-4_S22,290891872,77433420,30392022,13930,138217464,361980,834905,1760,93937966
JK081L-6_S6,68866428,32691120,9034125,14020,50759370,121125,85026,1167,26608289
JK081L-7_S7,96214212,24399384,8622934,14315,41645252,67237,687994,3423,31562752
210810_A00902_B_L002_APMG-38-8,84187440,29107368,8406480,14669,45920328,97151,101398,1879,32701252
JK081L-8_S8,78968724,21641697,7712533,15123,37066763,65386,517001,3218,25395927
210810_A00902_B_L002_APMG-38-7,86889696,29098729,9391601,15599,47881931,100500,517001,1290,28687590
JK081L-9_S9,82548690,26701496,7241829,16084,41185154,86937,867769,1830,24991526
JK115L-2_S24,144780468,44565112,10163584,16541,64892280,105152,570783,2396,43282644
210810_A00902_B_L002_APMG-38-15,168504394,25493014,8916598,16946,43326210,60923,141925,1844,34049400
JK081L-11_S11,97959988,22893263,6351441,17222,35596145,63428,1224334,1556,20137114
210810_A00902_B_L001_APMG-37-11,75206520,26044278,8537317,17948,43118912,116188,68948,1404,29355989
210810_A00902_B_L001_APMG-37-10,76123624,27199906,7515547,18715,42231000,61033,579386,2292,28980318
JK081L-12_S12,181642822,29043747,9586712,19192,48217171,103542,152416,2146,27487167
210810_A00902_B_L001_APMG-37-9,62629348,23471820,5396868,19593,34265556,55372,867756,2272,18497162
BH194L-1_S25,110493866,33296914,12383257,20059,58063428,70882,841192,2967,48270425
210810_A00902_B_L001_APMG-37-8,82921828,27550253,9610225,20630,46770703,53870,2165986,4233,36512594
JK081L-13_S13,79456568,21738132,9938491,21068,41615114,48918,956108,6035,35622502
210810_A00902_B_L001_APMG-37-7,75717488,25800733,7982234,21753,41765201,101446,178347,1529,24196288
BH194L-2_S26,68834112,19312835,7631765,22518,34576365,103721,775929,1429,27554995
210810_A00902_B_L001_APMG-37-6,75015372,22187575,10763123,22982,43713821,56489,2165986,2121,33438259
